Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
17	50			1.2	1.4			10.1	10.148			7.7	6.168356		
17		27.00538		1.2		1.4		10.1		9.94775		7.7		6.273014	
17		30.702612		1.2		1.5		10.1		10.047		7.7		6.283113	
17		33.983322		1.2		1.5		10.1		9.867001		7.7		5.048643	
6.4	50			1.1	1.4							3.8	3.021984		
6.4		110.662315		1.1		1.4						3.8		3.266412	
6.4		34.088924		1.1		1.4						3.8		3.1961062	
6.4		17.744305		1.1		1.9						3.8		2.067443	
6.4	50			1.1	1.5							6.2	4.247647		
6.4		29.291014		1.1		1.4						6.2		4.1174026	
6.4		77.67904		1.1		1.4						6.2		4.0332236	
6.4		66.555145		1.1		1.9						6.2		2.895479	
41.5	50			1.1	1.8000001							11.1	10.428449		
41.5		65.92089		1.1		1.5						11.1		10.785972	
41.5		275.15244		1.1		1.5						11.1		10.540493	
41.5		32.43636		1.1		1.4						11.1		9.244468	
9.6	50			6.5	7.9							4.2	3.6361527		
9.6		50		6.5		6.5						4.2		3.0663981	
9.6		50		6.5		6.5						4.2		3.155427	
9.6		50		6.5		9.5						4.2		2.2806046	
6.8	50			7.6	8							4.2	3.415265		
6.8		129.63135		7.6		8						4.2		2.96276	
6.8		24.395872		7.6		1.5						4.2		2.7914724	
6.8		50		7.6		9.5						4.2		1.7545255	
9.2	50			5.7	7.4							3.9	2.914455		
9.2		50		5.7		7.1						3.9		3.2432463	
9.2		25.79262		5.7		5.9						3.9		2.783397	
9.2		50		5.7		0						3.9		1.398807	
11	50			3.2	4.9							5.9	4.859692		
11		50		3.2		4.3						5.9		5.5127697	
11		16.321056		3.2		4.7000003						5.9		4.720815	
11		50		3.2		5.2000003						5.9		4.0478163	
21	50			1.6	2.7							7.6	7.623633		
21		21.949728		1.6		1.4						7.6		8.046268	
21		72.996704		1.6		1.4						7.6		8.100138	
21		81.82559		1.6		1.9						7.6		6.569525	
21.5	50			1.2	2.2							6.8	6.9912357		
21.5		23.503458		1.2		1.5						6.8		7.622569	
21.5		31.573221		1.2		1.5						6.8		7.0894113	
21.5		23.912817		1.2		1.4						6.8		6.0962105	
7.8	50			1.7	0							4.1	1.2896525		
7.8		50		1.7		3.9						4.1		3.2278364	
7.8		29.19221		1.7		1.4						4.1		3.6532888	
7.8		50		1.7		3.9						4.1		2.0718899	
7.3	50			6.4	6.5							2.8	3.4860213		
7.3		50		6.4		4.6						2.8		2.808462	
7.3		62.4996		6.4		5.1						2.8		2.6866376	
7.3		50		6.4		9.6						2.8		1.9778453	
6.2	50			1.05	2							5.8	2.4911473		
6.2		50		1.05		2.2						5.8		3.0884314	
6.2		50		1.05		2.4						5.8		3.2167969	
6.2		50		1.05		2.7						5.8		2.4161713	
13.3	50			0.9	2.1000001							7.8	5.561152		
13.3		56.70569		0.9		1.4						7.8		6.222224	
13.3		44.992973		0.9		1.4						7.8		5.798189	
13.3		253.7434		0.9		2.2						7.8		5.138802	
11.3	50			1.2	0							4.2	1.6186473		
11.3		24.360245		1.2		3.6000001						4.2		3.1932793	
11.3		28.975306		1.2		2.1000001						4.2		3.4004993	
11.3		50		1.2		3.8						4.2		2.2154255	
6.3	50			3.2	9.900001							4.2	2.5539427		
6.3		50		3.2		7.4						4.2		3.429418	
6.3		50		3.2		5.8						4.2		3.2231832	
6.3		50		3.2		8.900001						4.2		2.2568653	
8.5	27.515211			0.5	1.6							6.9	3.2036042		
8.5		35.79501		0.5		1.4						6.9		3.6591663	
8.5		68.76781		0.5		1.4						6.9		3.903259	
8.5		166.63841		0.5		0						6.9		2.3569994	
25.6	50			1.1	1.9							9.2	7.205954		
25.6		19.520756		1.1		1.4						9.2		7.6863155	
25.6		76.11467		1.1		1.4						9.2		7.636983	
25.6		327.68277		1.1		1.6						9.2		6.705575	
14.8	50			0.1	3							7	5.492568		
14.8		22.708738		0.1		1.5						7		5.568043	
14.8		30.685066		0.1		1.4						7		4.847507	
14.8		28.068552		0.1		2.2						7		4.17415	
6.3	44.110104			0.1	3.1000001			4.6	4.757			7	2.6832454		
6.3		45.111183		0.1		1.5		4.6		5.41275		7		2.885611	
6.3		43.81746		0.1		1.4		4.6		4.6922503		7		2.9947877	
6.3		31.986776		0.1		2.9		4.6		4.31925		7		2.147924	
17	50			1.4	2.7			17.1	17.502			8.8	6.37826		
17		24.694529		1.4		1.4		17.1		17.296		8.8		7.377791	
17		40.383633		1.4		1.4		17.1		17.337		8.8		6.7108703	
17		18.54174		1.4		2.1000001		17.1		17.9705		8.8		5.9097133	
12.9	50			1.5	2.5							7.8	4.403505		
12.9		50		1.5		1.6						7.8		5.11075	
12.9		50		1.5		1.6						7.8		5.258356	
12.9		18.639175		1.5		2.5						7.8		4.097743	
19.6	50			1.4	2.2							10.9	9.294199		
19.6		38.70169		1.4		1.5						10.9		9.64972	
19.6		37.95819		1.4		1.4						10.9		9.631233	
19.6		25.363058		1.4		1.4						10.9		8.294986	
25	50			1.3	3.3							11.4	10.510769		
25		50		1.3		1.7						11.4		10.691814	
25		17.461847		1.3		1.4						11.4		10.62337	
25		12.522024		1.3		1.5						11.4		9.205405	
8.3	50			1.7	6.4							4.2	4.1226587		
8.3		50		1.7		4.9						4.2		3.9097092	
8.3		50		1.7		1.7						4.2		3.6763144	
8.3		50		1.7		5.7000003						4.2		2.844903	
7.3	50			1.2	2.1000001							5.2	3.7767186		
7.3		50		1.2		1.5						5.2		4.7374496	
7.3		77.40888		1.2		1.5						5.2		4.6029606	
7.3		16.664515		1.2		1.8000001						5.2		3.4663308	
9.8	50			1.7	7.3							5.3	4.6391616		
9.8		50		1.7		2.3						5.3		4.3583407	
9.8		23.054426		1.7		2						5.3		4.2584286	
9.8		50		1.7		2.2						5.3		3.0041063	
7.7	50			4	6.6							4.8	4.175523		
7.7		88.96595		4		5.8						4.8		4.3509192	
7.7		20.00742		4		4.6						4.8		4.183366	
7.7		50		4		6.7000003						4.8		2.8174798	
8	50			1.3	0							6.1	1.4909258		
8		50		1.3		1.5						6.1		3.4244738	
8		143.63321		1.3		1.4						6.1		5.1966076	
8		28.625292		1.3		1.4						6.1		3.8943074	
7.8	50			2.2	8.6							4.4	2.1579828		
7.8		50		2.2		3.9						4.4		2.9178374	
7.8		60.957546		2.2		1.7						4.4		3.491394	
7.8		50		2.2		4.2000003						4.4		1.6806885	
8.3	50			2.1	9.1							4.5	1.839252		
8.3		50		2.1		1.7						4.5		2.5558262	
8.3		224.89116		2.1		0						4.5		2.7621472	
8.3		10.14494		2.1		3.4						4.5		1.141614	
5	50			3	6.5							3.1	2.8405404		
5		50		3		5						3.1		2.4741552	
5		50		3		3.2						3.1		2.4649088	
5		50		3		0						3.1		1.4246005	
7.1	50			1.9	6.4							3.8	4.176906		
7.1		35.003017		1.9		2						3.8		4.107357	
7.1		26.25097		1.9		2.2						3.8		3.8754556	
7.1		50		1.9		6.8						3.8		2.5282283	
29.4	50			2.7	2.8							11.2	8.401054		
29.4		50		2.7		2.1000001						11.2		8.677967	
29.4		23.447355		2.7		2						11.2		8.68976	
29.4		24.044762		2.7		2.3						11.2		8.630021	
18.8	50			1.4	1.9							6.6	3.8639963		
18.8		20.148361		1.4		1.5						6.6		4.2949553	
18.8		134.68051		1.4		1.8000001						6.6		4.620766	
18.8		14.664846		1.4		1.7						6.6		3.3189852	
